Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
блестели,*блест+е+л/и,* b l' i1 s' t' + e0 + l' / i4,* b l' i1 s' t' + e0 + l' / e4,3,ata0909
блестело,*блест+е+л/о,* b l' i1 s' t' + e0 + l / a4,* b l' i1 s' t' + e0 + l / a4,3,"kta0789,ata0789"
блестящей,*блест+ящ/ей,* b l' i1 s' t' + a0 sc / i4 j,* b l' i1 s t' + a0 sc / i4 j,3,atb2088
блестящую,*блест+ящ/ую,* b l' i1 s' t' + a0 sc / u4 j u4,* b l' i1 s' t' + a0 sc / i4 j u4,3,ktb1634
блещет,*блещ/ет,* b l' e0 sc / i4 t,* b l' e0 sc / e4 t,3,"cta0664,kta0664"
ближе,*ближ+е,* b l' i0 zh + y4,* b l' i0 zh + e4,8,"cta0164,kta0164"
близкие,*близ+к/ие,* b l' i0 s + k' / i4 j i4,* b l' i0 s + k' / i4 i4,1,cta1154
близких,*близ+к/их,* b l' i0 s + k' / i4 h,* b l' i0 s + k' / i4 h,14,"cta0259,ctb0911,ctb1691,gta0259,ktb0911,ktb1691,kta0259,ota0259,sta0259,uta0259,ata0259,atb0911,atb1691,mta0259"
близко,*близ+к+о,* b l' i0 s + k + a4,* b l' i0 s + k + a4,14,"cta0181,cta0722,kta1104,kta0181,ota0181,sta0181,ata0181,ata0722"
близорукие,*близ=о*рук/ие,* b l' i1 z = a1 * r u0 k' / i4 j i4,* b l' i1 z = a1 * r u0 k' / i4 e4,8,"cta0037,uta0037,mta0037"
блицы,*блиц/ы,* b l' i0 c / y4,* b l' i0 c / e4,8,gta0500
блока,*блок/а,* b l o0 k / a4,* b l o0 k / a4,3,"cta0627,kta0627,ata0627"
блокнот,*блокнот,* b l a1 k n o0 t,* b l a1 k n o0 t,16,"ctb0643,ctb0669,gtb0643,gtb0669,ktb0643,ktb0669,otb0643,otb0669,stb0643,stb0669,utb0643,utb0669,atb0643,atb0669,mtb0643,mtb0669"
бог,*бог,* b o0 h,* b o0 h,3,"cta0816,kta0816,ata0816"
богу,*бог/у,* b o0 g / u4,* b o0 g / u4,10,"cta0880,ctc0093,ctc0111,ktc0093,ktc0111,sta0080,uta0080,ata0080"
бодро,*бодр+о,* b o0 d r + a4,* b o0 d r + e4,3,"ctb1507,atb1507"
бодростью,*бодр+ость/ю,* b o0 d r + a4 s' t' / j u4,* b o0 d r + e4 s' t' / u4,7,"sta0169,mta0169"
бодрым,*бодр/ым,* b o0 d r / y4 m,* b o0 d r / m,8,"gta0216,mta0216"
боже,*бож/е,* b o0 zh / y4,* b o0 zh / e4,23,"ctc1291,mta0292"
боится,*бо/ит^ся,* b a1 / - i0 ^ c a4,* a1 / i0 c ^ a4,7,otb0201
боишься,*бо/ишь^ся,* b a1 ^ i0 sh / s' a4,* b a1 ^ i0 sh / s' a4,6,"ktb0070,otb0070,utb0070"
бок,*бок,* b o0 k,* b o0 k,20,"cta0164,cta0882,ctb1709,ctc0037,ctc0852,gta0164,kta0882,ktb1709,kta0164,ktc0037,ktc0852,ota0164,sta0164,uta0164,utc0037,utc0852,ata0164,ata0882,atb1709,mta0164"
бокалы,*бокал/ы,* b a1 k a0 l / y4,* b a1 k a0 l / y4,3,"ctb1564,ktb1564,atb1564"
боковую,*бок+ов/ую,* b a2 k + a1 v / u0 j u4,* b y1 k + a1 v / u0 u4,3,"cta0669,kta0669,ata0669"
боком,*бок/ом,* b o0 k / a4 m,* b o0 k / a4 m,8,"kta0037,ota0037,mta0037"
более,*бол+ее,* b o0 l' + i4 - i4,* b o0 l' + e4 e4,96,gta0134
болезненно,*бол+е+зн+енн+о,* b a1 l' + e0 + z' n' + i4 n n + a4,* b a1 l' + e0 + z n' + e4 n + a4,14,mta0335
болезни,*бол+е+зн/и,* b a1 l' + e0 + z' n' / i4,* b a1 l' + e0 + s n' / i4,22,utb0153
болезнь,*бол+е+знь,* b a1 l' + e0 + z' n',* b a1 l' + e0 + z' n',6,"gta0004,kta0004,sta0004,uta0004,ata0004,mta0004"
болезнью,*бол+е+знь/ю,* b a1 l' + e0 + z' n' / j u4,* b a1 l' + e0 + z n' / i4,8,sta0239
болела,*бол+е+л/а,* b a1 l' + e0 + l / a4,* b a1 l' + e0 + l / a4,8,"kta0415,ota0415,mta0415"
болен,*бол+ен,* b o0 l' + i4 n,* b o0 l' + e4 n,6,"cta0523,cta1051,kta0523,kta1051,ata0523,ata1051"
болеть,*бол+е/ть,* b a1 l' + e0 / t',* b a0 l' + e0 / t',22,gta0226
боли,*бол/и,* b o0 l' / i4,* b o0 l' / e4,16,"gta0042,gta0216,gte0217,kta0042,ota0216,uta0216"
болит,*бол/ит,* b a1 l' / i0 t,* b a1 l' / i0 t,3,"cta0677,kta0677,ata0677"
болтун,*болт+ун,* b a1 l t + u0 n,* b a1 l t + u0 n,8,"cta0409,gta0409,kta0409,ota0409,sta0409,uta0409,ata0409,mta0409"
больницу,*боль+н+иц/у,* b a1 l' + n' + i0 c / u4,* p a1 l' + n' + i0 c / u4,5,atb1688
больницы,*боль+ниц/ы,* b a1 l' + n' i0 c / y4,* b a1 l' + n' i0 c / e4,16,"cta0040,gta0005"
больно,*боль+н+о,* b o0 l' + n + a4,* b o0 l' + n + a4,10,"cta0129,gta0129,kta0129,ota0129,uta0129,ata0129,atd0283,mta0129"
больное,*боль+н/ое,* b a1 l' + n / o0 - i4,* b a1 l' + n / o0 e4,8,gta0012
больной,*боль+н/ой,* b a1 l' + n / o0 j,* b a1 l' + n / o0 j,11,"cta0123,gta0123,kta0628,ota0123,uta0123,ata0123,mta0123"
больные,*боль+н/ые,* b a1 l' + n / y0 j i4,* b a1 l' + n / y0 i4,8,"ktb0155,otb0155,stb0155,utb0155,mtb0155"
больным,*боль+н/ым,* b a1 l' + n / y0 m,* b a1 l' + n / y0 m,3,"cta0564,kta0564,ata0564"
большак,*больш+ак,* b a1 l' sh + a0 k,* b a1 l' sh + a0 k,3,"cta0740,kta0740,ata0740"
большая,*боль+ш/ая,* b a1 l' + sh / a0 j a4,* b a1 l' + sh / a0 e4,4,"ctb1910,otd0302,atd0302"
больше,*больш+е,* b o0 l' sh + y4,* b o0 l' sh +,174,"gtb0603,gte0216,sta0395,stb0603,ata0178"
большей,*больш/ей,* b o0 l' sh / y4 j,* b o0 l' sh / y4,5,"cta0793,kta0793,ata0793"
большие,*больш/ие,* b a1 l' sh / y0 j i4,* b a1 l' sh / y0 i4,12,"gte0068,gte0397,kta0769,otd0273,ste0068,ste0069,atd0273,ata0769"
большим,*больш/им,* b a1 l' sh / y0 m,* b a1 l' sh / y0 m,17,"cta0072,cta0533,cta0922,gta0072,gte0161,gte0337,kta0533,kta0922,kta0072,sta0072,ste0161,ste0337,uta0072,ata0072,ata0533,ata0922,mta0072"
большими,*боль+ш/ими,* b a1 l' + sh / y0 m' i4,* b a1 l' + sh / y0 m' i4,3,"ktb1831,atb1831"
большое,*боль+ш/ое,* b a1 l' + sh / o0 j i4,* b a1 l' + sh / o0 e4,9,"ctc1134,ktb1894,ktc1134,utc1134"
большой,*больш/ой,* b a1 l' sh / o0 j,* b a1 l' sh / o0,49,"cta0527,kta0527,kta0913,kta0409,ktc0021,ktc1235,ktc1258,ota0409,sta0409,ste0177,atd0064,mtb0713"
большую,*больш/ую,* b a1 l' sh / u0 j u4,* b a1 l' sh / u0 u4,6,"cta0669,kta0669,ata0669"
большую,*больш/ую,* b o0 l' sh / u4 j u4,* b o0 l' sh / u4 j u4,6,atd0265
бомбу,*бомб/у,* b o0 m b / u4,* b o0 m b / u4,1,cta1152
бормотал,*бормот+а+л,* b a2 r m a1 t + a0 + l,* b a2 r m a1 t + a0 + l,16,"cta0121,cta0166,gta0166,sta0166,ata0121,ata0166"
бормотала,*бормот+а+л/а,* b a2 r m a1 t + a0 + l / a4,* b a2 r m a1 t + a0 + l / a4,8,"cta0103,kta0103,ota0103"
бормотанием,*бормот+ани/ем,* b a2 r m a1 t + a0 n' i4 / j i4 m,* b a2 r m a1 t + a0 n' i4 / e4 m,3,cta0506
бородка,*бород+к/а,* b a1 r o0 t + k / a4,* b a1 r o0 t + k / a4,6,"cta0509,cta0755,kta0509,kta0755,ata0755"
бородками,*бород+к/ами,* b a1 r o0 t + k / a4 m' i4,* b a1 r o0 t + k / e4 m' i4,3,kta1076
бородки,*бород+к/и,* b a1 r o0 t + k' / i4,* b a1 r o0 t + k' / i4,3,"cta1090,kta1090,ata1090"
бородкой,*бород+к/ой,* b a1 r o0 t + k / a4 j,* b a1 r o0 t + k / e4,8,mta0497
бороду,*бород/у,* b o0 r a4 d / u4,* b o0 r a4 d / u4,3,kta0541
боролся,*бор+о+л^ся,* b a1 r + o0 + l ^ s' i4,* b a1 r + o0 + l ^ s' e4,8,gta0434
босой,*бос/ой,* b a1 s / o0 j,* b a1 s / o0 i4,3,"cta0621,ata0621"
ботинки,*ботин+к/и,* b a1 t' i0 n + k' / i4,* b a1 t' i0 n + k' / i4,11,"cta0288,cta0761,gta0288,kta0761,kta0288,ota0288,sta0288,uta0288,ata0288,mta0288"
ботиночки,*ботин+очк/и,* b a1 t' i0 n + a4 ch k' / i4,* b a1 t' i0 n + y4 ch k' / i4,3,"cta1071,kta1071"
боткинскую,*боткин+ск/ую,* b o0 t k' i4 n + s k / u4 j u4,* b o0 t k' e4 n + s k / u4 j u4,7,uta0003
боюсь,*бо/ю^сь,* b a1 / j u0 ^ s',* b a1 / i1 u0 ^ s',6,utc0921
боялась,*бо+я+л/а^сь,* b a1 j + a0 + l / a4 ^ s',* b a1 j + a0 + l / a4 ^ s',3,atb1928
боялись,*бо+я+л/и^сь,* b a1 + j a0 + l' / i4 ^ s',* b a1 + j a0 + l' / e4 ^ s',6,ata0858
боялся,*бо+я+л^ся,* b a1 j + a0 + l ^ s' a4,* b a1 i1 + a0 + l ^ s' i4,17,ctb1174
боятся,*бо/ят^ся,* b a1 j / a0 ^ c a4,* b a1 j / a0 ^ c a4,6,"ctb1360,ktb1359,ktb1360,atb1359,atb1360"
братья,*браать/я,* b r a0 t' j / a4,* b r a0 t' / e4,18,stb0099
брака,*брак/а,* b r a0 k / a4,* b r a0 k / a4,14,"ctb0677,ctb0826,ctb0832,gtb0677,ktb0826,ktb0677,otb0677,stb0677,utb0677,atb0677,atb0826,atb0832,mtb0677"
браке,*брак/е,* b r a0 k' / i4,* b r a0 k' / i4,8,"ctb0679,gtb0679,ktb0679,otb0679,stb0679,utb0679,mtb0679"
браков,*брак/ов,* b r a0 k / a4 f,* b r a0 k / a4 f,3,"ctb0985,ktb0985"
брат,*брат,* b r a0 t,* b r a0 t,61,"cta0743,cta0744,ctb0975,ctb0976,ctb0977,ctb0982,ctb1005,ctb1040,ctb1042,ctb1065,ctb1197,ctb1403,ctb1407,ctb1408,ctb1481,ctb1488,ctb1498,ctb2102,kta0743,kta0744,ktb0975,ktb0976,ktb0977,ktb0982,ktb1005,ktb1040,ktb1042,ktb1065,ktb1197,ktb1403,ktb1407,ktb1408,ktb1481,ktb1498,ktb2102,ata0743,ata0744,atb0961,atb0975,atb0976,atb0977,atb0982,atb1005,atb1040,atb1042,atb1065,atb1197,atb1403,atb1407,atb1408,atb1481,atb1488,atb1498,atb2102"
брата,*брат/а,* b r a0 t / a4,* b r a0 t / a4,6,"ctb1961,ktb1961,ktb1971,atb1961,atb1971"
братнин,*брат+н+ин,* b r a0 t' + n' + i4 n,* b r a0 t + n' + i4 n,3,"kta0766,ata0766"
братом,*брат/ом,* b r a0 t / a4 m,* b r a0 t / a4 m,3,"ktb1388,atb1388"
брату,*брат/у,* b r a0 t / u4,* b r a0 t / u4,3,"ctb1209,ktb1209,atb1209"
брать,*бр+а/ть,* b r + a0 / t',* b r + a0 / c,25,"gte0365,gte0385"
братьев,*брать/ев,* b r a0 t' / j i4 f,* b r a0 t' / e4 f,12,kta0752
братья,*брать/я,* b r a0 t' j / a4,* b r a0 t' / e4,18,ctb1779
братьями,*брать/ями,* b r a0 t' / j i4 m' i4,* b r a0 t' / i4 m' i4,6,"cta0769,kta0763,kta0769"
бревенчатый,*бревен+чат/ый,* b r' i1 v' e0 n' + ch i4 t / y4 j,* b r' i1 v' e0 n + ch i4 t / y4,3,kta0741
брился,*бр+и+л^ся,* b r' + i0 + l ^ s' i4,* b r' + i0 + l ^ s' a4,8,sta0198
брови,*бров/и,* b r o0 v' / i4,* b r o0 v' / e4,11,"cta0497,gta0497,sta0497"
бродил,*брод+и+л,* b r a1 d' + i0 + l,* b r a1 d' + i0 + l,8,"cta0363,gta0363,kta0363,ota0363,sta0363,uta0363,ata0363,mta0363"
бросала,*брос+а+л/а,* b r a1 s + a0 + l / a4,* b r a1 s + a0 + l / a4,1,cta1152
бросалось,*брос+а+л/о^сь,* b r a1 s + a0 + l / a4 ^ z',* b r a1 s + a0 + l / y4 ^ s',3,ata0911
бросая,*брос+а+я,* b r a1 s + a0 + j a4,* b r a1 s + a0 + a4,11,ktc0366
бросил,*брос+и+л,* b r o0 s' + i4 + l,* b r o0 s' + + l,20,utc0035
бросила,*брос+и+л/а,* b r o0 s' + i4 + l / a4,* b r o0 s' + + l / a4,13,sta0072
бросило,*брос+и+л/о,* b r o0 s' + i4 + l / a4,* b r o0 s' + + l / a4,8,sta0340
бросился,*брос+и+л^ся,* b r o0 s' + i4 + l ^ s' a4,* b r o0 s' + i4 + l ^ s' i4,3,"ctb1629,ktb1629"
бросит,*брос/ит,* b r o0 s' / i4 t,* b r o0 s' / e4 t,3,ata0858
бросить,*брос+и/ть,* b r o0 s' + i4 / t',* b r o0 s' + i4 / t',1,cta1147
брюки,*брюк/и,* b r' u0 k' / i4,* b r' u0 k' / i4,6,"ctb1637,ctb1671,ktb1637,ktb1671,atb1637,atb1671"
брюнет,*брюнет,* b r' u1 n e0 t,* b' r' u1 n' e0 c,8,uta0497
брякнул,*бряк+ну+л,* b r' a0 k + n u4 + l,* b r' a0 k + n o4 + l,11,atb0674
брякнуто,*бряк+ну+т+о,* b r' a0 k + n u4 + t + a4,* b r' a0 k + n u4 + t + a4,3,"cta0991,ata0991"
бубнила,*бубн+и+л/а,* b u1 b n' + i0 + l / a4,* b u1 b n' + i0 + l / a4,8,"cta0176,gta0176,kta0176,ota0176,sta0176,uta0176,ata0176,mta0176"
будем,*буд/ем,* b u0 d' / i4 m,* b u0 d' / e4 m,67,ktc0330
будет,*буд/ет,* b u0 d' / i4 t,* b u0 / i4 t,244,uta0353
будете,*буд/ете,* b u0 d' / i4 t' i4,* b u0 / y4 t' i4,17,utc0056
будешь,*буд/ешь,* b u0 d' / i4 sh,* b u0 d' / i4 sh,22,"ctb0963,ctb1328,ktb0963,ktb1328,atb0963,atb1328"
будка,*буд+к/а,* b u0 t + k / a4,* b u0 t + k / a4,3,"ctb1917,ktb1917,atb1917"
буднично,*будн+ичн+о,* b u0 d' n' + i4 ch n + a4,* b u0 d n' + i4 ch n + y4,8,"kta0242,ota0242"
будто,*будто,* b u0 t t - a4,* b u0 t,160,stb0740
буду,*буд/у,* b u0 d / u4,* b u0 d / u4,39,"ctb0184,ctb0297,ctb1427,ctb1463,ctb1693,ctb1741,ctb1745,ctb1747,ctc0794,gtb0184,gtb0297,ktb1427,ktb1463,ktb1693,ktb1741,ktb1745,ktb1747,ktb0184,ktc0794,otb0184,otb0297,otd0054,stb0184,stb0297,utb0184,utb0297,utc0794,atb0184,atb0297,atd0054,atb1427,atb1463,atb1693,atb1741,atb1745,atb1747,mtb0184,mtb0297"
будут,*буд/ут,* b u0 d / u4 t,* b u0 d / u4 c,46,"cta0644,kta0644"
будущем,*буд+ущ/ем,* b u0 d + u4 sc / i4 m,* b u0 d + u4 sc / e4 m,27,"gtb0276,gte0304,ktb0816,stb0276"
будущий,*буд+ущ/ий,* b u0 d + u4 sc / i4 j,* b u0 d + u4 sc / i4,4,"ctb1282,ktb1282,otd0111"
будь,*будь,* b u0 t',* b u0 ch,11,ctb0920
буйствует,*буй+ств+у/ет,* b u0 j + s t v + u4 / j i4 t,* b u0 j + s t v + u4 / i4 t,3,ata0824
буквально,*букв+альн+о,* b u1 k v + a0 l' n + a4,* b u1 k v + a0 l' n + a4,3,"ctb1852,ktb1852,atb1852"
буквами,*букв/ами,* b u0 k v / a4 m' i4,* b u0 k f / y4 m' i4,6,atb1831
буквы,*букв/ы,* b u0 k v / y4,* b u0 k v / y4,3,"cta0766,kta0766,ata0766"
букетик,*букет+ик,* b u1 k' e0 t' + i4 k,* b u1 k' e0 t' + i4 k,1,cta1147
букетики,*букет+ик/и,* b u1 k' e0 t' + i4 k' / i4,* b u1 k' e0 t' + i4 k' / i4,3,ctb1099
буксире,*букс+ир/е,* b u1 k s' + i0 r' / i4,* b u1 k s' + i0 r' / e4,8,ctb0542
буксовал,*букс+ова+л,* b u1 k s + a1 v a0 + l,* b u1 k s + a1 v a0 + l,3,"ctb2029,ktb2029,atb2029"
булыжной,*булыж+н/ой,* b u1 l y0 zh + n / a4 j,* b u1 l y0 zh + n / y4,3,"cta0736,kta0736"
бульвар,*бульвар,* b u1 l' v a0 r,* b u1 l' v a0 r,3,"ctb1870,ktb1870,atb1870"
бульваре,*бульвар/е,* b u1 l' v a0 r' / i4,* b u1 l' v a0 r' / e4,3,ctb2071
бульвару,*бульвар/у,* b u1 l' v a0 r / u4,* b u1 l' v a0 r / u4,3,"ctb1946,ktb1946,atb1946"
бумага,*бумаг/а,* b u1 m a0 g / a4,* b u1 m a0 g / a4,4,"ctb1965,ktb1965,atb1965"
бумаге,*бумаг/е,* b u1 m a0 g' / i4,* b u1 m a0 g' / e4,14,"gtb0427,gte0409,ktb0427,atb0427"
бумагой,*бумаг/ой,* b u1 m a0 g / a4 j,* b u1 m a0 g / a4 i4,3,ctb1942
бури,*бур/и,* b u0 r' / i4,* b u0 r' / i4,3,"cta0876,kta0876,ata0876"
бусами,*бус/ами,* b u0 s / a4 m' i4,* b u0 s / a4 m' i4,3,ata0997
бутылка,*бутыл+к/а,* b u1 t y0 l + k / a4,* b u1 t y0 l + k / a4,3,kta0684
бутылками,*бутыл+к/ами,* b u1 t y0 l + k / a4 m' i4,* b u1 t y0 l + k / y4 m' i4,3,"ctb1573,ktb1573,atb1573"
бутылках,*бутыл+к/ах,* b u1 t y0 l + k / a4 h,* b u1 t y0 l + k / a4 h,8,"kta0332,ota0332"
бутылки,*бутыл+к/и,* b u1 t y0 l + k' / i4,* b u1 t y0 l + k' /,12,utc0471
бутылку,*бутыл+к/у,* b u1 t y0 l + k / u4,* b u1 t y0 l + k /,18,utc0988
буфет,*буфет,* b u1 f' e0 t,* b u1 f' e0 t,16,"cta0096,ctb0636,gta0096,gtb0636,kta0096,ktb0636,ota0096,otb0636,stb0636,uta0096,utb0636,ata0096,atb0636,mta0096,mtb0636"
буфете,*буфет/е,* b u1 f' e0 t' / i4,* b u1 f' e0 t' /,21,stb0639
бухарских,*бухар+ск/их,* b u1 h a0 r + s k' / i4 h,* b u1 h a0 r + s k' / i4 h,3,"cta0913,kta0913,ata0913"
бухточки,*бухт+очк/и,* b u0 h t + a4 ch k' / i4,* b u0 h t + y4 ch k' / i4,3,"cta0779,kta0779,ata0779"
бывает,*бы+ва/ет,* b y1 + v a0 / - i4 t,* b u1 + v a0 / e4 t,41,mtb0183
бывал,*бы+ва+л,* b y1 + v a0 + l,* b u1 + v a0 + l,12,"ctb1368,ctc0820,utc0820,ata0777"
бывала,*бы+ва+л/а,* b y1 + v a0 + l / a4,* b u1 + v a0 + l / y4,3,"cta1077,kta1077"
бывали,*бы+ва+л/и,* b y1 + v a0 + l' / i4,* b o1 + v a0 + l' / e4,22,gta0014
бывало,*бы+ва+л/о,* b y1 + v a0 + l / a4,* b y1 + v a0 + l / a4,9,"cta0602,ctb1117,kta0602,ktb1117,ata0602,atb1117,atb1138"
бывать,*бы+ва/ть,* b y1 + v a0 / t',* b y1 + v a0 / t',3,"ctb1949,ktb1949,atb1949"
бываю,*бы+ва/ю,* b y1 + v a0 j / u4,* b u1 + v a0 / o4,8,gtb0299
бывают,*бы+ва/ют,* b y1 + v a0 / j u4 t,* b u1 + v a0 / j u4 t,37,ctb2021
бывшая,*бы+вш/ая,* b y0 + f sh / a4 j a4,* b y0 + f sh / e4 e4,3,"cta0776,ata0776"
бывшие,*бы+вш/ие,* b y0 + f sh / y4 - i4,* b y0 + f sh / y4 y4,19,mtb0608
бывший,*бы+вш/ий,* b y0 + f sh / y4 j,* b y0 + f sh / y4,10,"ctb0666,gtb0666,ktb0666,otb0666,otd0160,utb0666,mtb0666"
был,*бы/л,* b y0 / l,* b / l,375,stb0084
была,*бы+л/а,* b y1 + l / a0,* b y0 + l / a4,1,ktb0762
были,*бы+л/и,* b y0 + l' / i4,* b + l' / i4,180,stb0612
было,*бы+л/о,* b y0 + l / a4,* b + l / a4,648,gta0153
быстрее,*быстр+ее,* b y1 s t r' + e0 j i4,* b y1 s t r' + e0 e4,7,"ctb1864,ktb1864,otd0269,atd0260,atd0269,atb1864"
быстренько,*быстр+еньк+о,* b y0 s t r' + i4 n' k + a4,* b y0 s t r' + i4 n' k + a4,3,"ctb2089,ktb2089,atb2089"
быстро,*быстр+о,* b y0 s t r + a4,* b y0 s t + y4,83,mta0498
быстро-то,*быстр+о-+то,* b y0 s t r + a4 + t o0,* b y0 s t r + a4 + t e4,2,cta0207
быстрой,*быстр/ой,* b y0 s t r / a4 j,* b y0 s t r / e4 j,7,gte0374
быстрым,*быстр/ым,* b y0 s t r / y4 m,* b y0 s t r / m,8,mta0120
быстрыми,*быстр/ыми,* b y0 s t r / y4 m' i4,* b y0 s t r / y4 m' i4,11,"cta0270,cta0727,gta0270,kta0727,kta0270,ota0270,sta0270,uta0270,ata0270,ata0727,mta0270"
бытовая,*быт+ов/ая,* b y1 t + a1 v / a0 j a4,* b y1 t + a1 v / a0 e4,3,"cta0974,kta0974"
бытом,*быт/ом,* b y0 t / a4 m,* b y0 t / a4 m,3,kta0748
быть,*бы/ть,* b y0 / t',* b y0 / c,303,"gte0345,ata0796"
бюллетене,*бюллетен/е,* b' u1 l' i1 t' e0 n' / i4,* b' i1 l' u1 t' e0 n' / i4,3,ata0522
бюсте,*бюст/е,* b' u0 s' t' / i4,* b' u0 s' t' / e4,3,"cta0997,kta0997"
в-третьих,~в-*тр+еть+их,~ f * t r' + e0 t' + j i4 h,~ f * t r' + e0 t' + i4 h,3,"ktb1530,atb1530"
вагон,*вагон,* v a1 g o0 n,* v a1 g o0 n,23,"cta0270,cta0271,cta0272,gta0270,gta0271,gta0272,kta0270,kta0271,kta0272,ota0271,ota0272,sta0270,sta0271,sta0272,uta0270,uta0271,uta0272,ata0270,ata0271,ata0272,mta0270,mta0271,mta0272"
вагона,*вагон/а,* v a1 g o0 n / a4,* v a1 g o0 n / a4,8,"cta0270,kta0270,ota0270,sta0270,ata0270,mta0270"
важен,*важ+ен,* v a0 zh + y4 n,* v a0 zh + e4 n,3,ktb1914
важно,*важ+н+о,* v a0 zh + n + a4,* v a0 sh + n + a4,45,"otb0260,utb0260,atb0260"
важное,*важ+н/ое,* v a0 zh + n / a4 j i4,* v a0 sh + n / e4 e4,8,ata0829
важным,*важ+н/ым,* v a0 zh + n / y4 m,* v a0 zh + n / y4 m,3,"ctb1631,ktb1631,atb1631"
валерка,*валер+к/а,* v a1 l' e0 r + k / a4,* v a1 l' e0 r + k / a4,3,"cta0851,kta0851,ata0851"
валька,*валь+к/а,* v a0 l' + k / a4,* v a0 l' + k / a4,8,"kta0147,sta0147,ata0147,mta0147"
валя,*вал/я,* v a0 l' / a4,* v a0 l' / a4,8,"cta0192,kta0192,ota0192,uta0192,mta0192"
валявшиеся,*вал+я+вш/ие^ся,* v a1 l' + a0 + f sh / y4 j i4 ^ s' a4,* v a1 l' + a0 + f sh / y4 i4 ^ s' e4,2,ctb1669
валяется,*вал+я/ет^ся,* v a1 l' + a0 / j i4 ^ c a4,* v a1 l' + a0 / e4 ^ c e4,3,cta0946
валяться,*вал+я/ть^ся,* v a1 l' + a0 ^ c a4,* v a1 l' + a0 ^ c,8,mtb0519
вам,*в/ам,* v / a0 m,* f / a0 m,132,ota0441
вами,*в/ами,* v / a0 m' i4,* v / a0 m' e4,16,"ctb1420,gte0035,gte0281"
ваней,*ван/ей,* v a0 n' / i4,* v a0 n' / e4,3,"ctb0946,ktb0946"
ванна,*ванн/а,* v a0 n n / a4,* v a0 n / a4,3,"ctb1470,ktb1470,atb1470"
ванне,*ванн/е,* v a0 n' n' / i4,* a0 n' / e4,3,ctb1446
ванной,*ванн/ой,* v a0 n n / a4 j,* v a0 n n / e4,8,gta0198
ванную,*ванн/ую,* v a0 n n / u4 j u4,* v a0 n n / u4 a4,23,kta0207
варвара,*варвар/а,* v a1 r v a0 r / a4,* v a1 r v a0 r / a4,8,"cta0484,gta0484,kta0484,ota0484,sta0484,uta0484,ata0484,mta0484"
варварой,*варвар/ой,* v a1 r v a0 r / a4 j,* v a1 r v a0 r / y4 j,3,kta0631
варвары,*варвар/ы,* v a1 r v a0 r / y4,* v a1 r v a0 r / a4,8,"cta0483,gta0483,ota0483"
варенье,*вар+ень/е,* v a1 r' + e0 n' j / i4,* v a1 r' + e0 n' i4 / e4,3,cta1002
вариант,*вариант,* v a2 r' i1 a0 n t,* v e1 r' e1 a0 n t,12,"cta0271,gte0375,ota0271"
варить,*вар+и/ть,* v a1 r' + i0 / t',* v a1 r' + i0 / t',3,"cta1002,kta1002,ata1002"
варшавку,*варшав+к/у,* v a1 r sh a0 f + k / u4,* v a1 r sh a0 f + k / u4,3,"cta0586,kta0586,ata0586"
вас,*в/ас,* v / a0 s,* v / a0 s,150,"cta0173,cta0360,cta0369,cta0432,cta0512,cta0534,cta0535,ctb0387,ctb0929,ctb0934,ctb1127,ctb1168,ctb1220,ctb1221,ctb1734,ctb1811,ctb1830,ctc0351,ctc0590,ctc0742,ctc0794,ctc0808,ctc1151,ctc1200,ctc1239,ctc1256,ctc1344,ctc1523,ctc1556,ctc1565,gta0173,gta0360,gta0369,gta0432,gtb0387,gte0385,kta0512,kta0534,kta0535,ktb0929,ktb0934,ktb1127,ktb1168,ktb1220,ktb1221,ktb1734,ktb1811,ktb1830,kta0173,kta0194,kta0360,kta0369,kta0432,ktb0387,ktc0351,ktc0590,ktc0742,ktc0794,ktc0808,ktc1151,ktc1200,ktc1239,ktc1256,ktc1344,ktc1523,ktc1556,ota0173,ota0194,ota0360,ota0369,ota0432,otb0387,otd0056,sta0173,sta0194,sta0360,sta0369,sta0432,stb0387,ste0385,uta0173,uta0194,uta0360,uta0369,uta0432,utb0387,utc0351,utc0590,utc0794,utc0808,utc1151,utc1200,utc1239,utc1256,utc1344,utc1523,utc1556,utc1565,ata0173,ata0194,ata0360,ata0369,ata0432,atb0387,atd0056,ata0512,ata0534,ata0535,atb0929,atb0934,atb1127,atb1168,atb1220,atb1221,atb1734,atb1811,atb1830,mta0173,mta0194,mta0360,mta0369,mta0432"
